Word,Start,End,time_spent,post_pause,speaker,length,std_time_spent,post_space,amplitude,pitch,time,speed,isImpWord
take,17.34,17.5,0.16,0.0,0,4,0.04,0.0,0.1005138739793295,195.13221083560745,17.42,25.0,False
a,17.5,17.54,0.04,0.06,0,1,0.04,0.0600000000000022,0.1310398536487088,181.43323384866483,17.52,25.0,False
shared,17.6,17.86,0.26,0.02,0,6,0.0433333333333333,0.0199999999999995,0.1790047681403097,175.31549654030022,17.73,23.076923076923077,False
ride,17.88,18.24,0.36,1.3,0,4,0.09,1.3000000000000007,0.2420292295392264,131.50772537338656,18.06,11.11111111111111,True
this,19.54,19.7,0.16,0.08,0,4,0.04,0.0800000000000018,0.1717965023587584,229.812002482276,19.62,25.0,False
one,19.78,19.96,0.18,0.04,0,3,0.06,0.0399999999999991,0.3370723120939429,229.6121680050836,19.87,16.666666666666668,False
time,20.0,20.4,0.4,0.66,0,4,0.1,0.6600000000000001,0.2325350410836952,296.90512520917395,20.2,10.0,True
i,21.06,21.16,0.1,0.06,0,1,0.1,0.0599999999999987,0.2517412630371168,253.04733639772263,21.11,10.0,True
happen,21.22,21.46,0.24,0.02,0,6,0.04,0.0199999999999995,0.3847215572477515,202.44117647702183,21.34,25.0,False
to,21.48,21.56,0.08,0.06,0,2,0.04,0.0600000000000022,0.1682090258353251,307.7803830342753,21.52,25.0,False
mention,21.62,22.02,0.4,0.04,0,7,0.0571428571428571,0.0399999999999991,0.2353969788977246,249.26990461740968,21.82,17.5,False
that,22.06,22.2,0.14,0.08,0,4,0.035,0.0800000000000018,0.292453665705965,214.24774907167023,22.13,28.57142857142857,False
i'm,22.28,22.42,0.14,0.04,0,3,0.0466666666666666,0.0399999999999991,0.4010858069084548,241.28343947175756,22.35,21.428571428571427,False
on,22.46,22.56,0.1,0.06,0,2,0.05,0.0600000000000022,0.43374430016938,294.2668868654304,22.51,20.0,False
my,22.62,22.7,0.08,0.08,0,2,0.04,0.0800000000000018,0.4467524621368841,309.5019953883854,22.66,25.0,False
way,22.78,22.96,0.18,0.02,0,3,0.06,0.0199999999999995,0.3863937375983822,243.76431980693437,22.87,16.666666666666668,False
to,22.98,23.04,0.06,0.04,0,2,0.03,0.0399999999999991,0.2263566175848393,241.9923902695904,23.01,33.333333333333336,False
give,23.08,23.2,0.12,0.04,0,4,0.03,0.0399999999999991,0.2659593484452686,221.2663064063816,23.14,33.333333333333336,False
a,23.24,23.28,0.04,0.04,0,1,0.04,0.0399999999999991,0.111616493941988,193.2020140243532,23.26,25.0,False
talk,23.32,23.76,0.44,0.32,0,4,0.11,0.3199999999999967,0.1733093111479951,187.5824518267877,23.54,9.090909090909092,True
about,24.08,24.34,0.26,0.06,0,5,0.052,0.0599999999999987,0.3904639452509683,198.92896421745303,24.21,19.23076923076923,False
artificial,24.4,24.96,0.56,0.06,0,10,0.056,0.0599999999999987,0.2183791004460423,205.2391333492073,24.68,17.857142857142854,False
intelligence,25.02,25.8,0.78,1.56,0,12,0.065,1.5599999999999987,0.0808123064671099,149.32348884474266,25.41,15.384615384615383,True
the,27.36,27.42,0.06,0.06,0,3,0.02,0.0599999999999987,0.2163289793802087,,27.39,50.0,False
drivers,27.48,27.86,0.38,0.04,0,7,0.0542857142857142,0.0399999999999991,0.5003166144198998,202.40284523467403,27.67,18.42105263157895,False
eyebrows,27.9,28.32,0.42,0.04,0,8,0.0525,0.0399999999999991,0.5335420782932129,245.02738300692053,28.11,19.047619047619047,False
go,28.36,28.46,0.1,0.08,0,2,0.05,0.0799999999999983,0.2712051645168675,189.472066089126,28.41,20.0,False
up,28.54,28.7,0.16,1.14,0,2,0.08,1.1400000000000006,0.2103162733146194,148.22705286045883,28.62,12.5,True
yell,29.84,30.1,0.26,0.04,0,4,0.065,0.0399999999999991,0.5205218824147095,224.6475788152616,29.97,15.384615384615383,True
make,30.14,30.34,0.2,0.1,0,4,0.05,0.1000000000000014,0.2253879578508829,199.93574798161416,30.24,20.0,False
robots,30.44,31.12,0.68,1.48,0,6,0.1133333333333333,1.4800000000000004,0.222826537881231,204.85520438320668,30.78,8.823529411764705,True
we,32.6,32.68,0.08,0.06,0,2,0.04,0.0600000000000022,0.3753410781347973,149.28361489186133,32.64,25.0,False
got,32.74,32.86,0.12,0.04,0,3,0.04,0.0399999999999991,1.0,197.9502101821219,32.8,25.0,False
enough,32.9,33.18,0.28,0.18,0,6,0.0466666666666666,0.1799999999999997,0.3682985075570156,244.60875798897357,33.04,21.428571428571427,False
trouble,33.36,34.04,0.68,0.38,0,7,0.0971428571428571,0.3800000000000025,0.2684507852249139,217.86058777923256,33.7,10.294117647058822,True
without,34.42,34.9,0.48,0.28,0,7,0.0685714285714285,0.2800000000000011,0.3626675318404965,204.00202081268543,34.66,14.583333333333334,True
robots,35.18,35.92,0.74,1.96,0,6,0.1233333333333333,1.9600000000000009,0.1676909200721586,164.1351597782449,35.55,8.108108108108109,True
cause,37.88,38.06,0.18,0.04,0,5,0.036,0.0399999999999991,0.5479303612785179,305.3431599783261,37.97,27.77777777777778,False
i,38.1,38.16,0.06,0.04,0,1,0.06,0.0400000000000062,0.9345879320604684,290.9568867175733,38.13,16.666666666666668,False
don't,38.2,38.28,0.08,0.04,0,5,0.016,0.0399999999999991,0.4893336078586079,192.98061157506783,38.24,62.5,False
know,38.32,38.4,0.08,0.06,0,4,0.02,0.0600000000000022,0.6758529196283249,318.1255322690764,38.36,50.0,False
the,38.46,38.5,0.04,0.02,0,3,0.0133333333333333,0.0200000000000031,0.2852790334236106,326.2693966458999,38.48,75.0,False
exact,38.52,38.78,0.26,0.04,0,5,0.052,0.0399999999999991,0.439721842343456,251.58069675050973,38.650000000000006,19.23076923076923,False
pattern,38.82,39.12,0.3,0.0,0,7,0.0428571428571428,0.0,0.4084396122943583,212.73525076267683,38.97,23.333333333333336,False
of,39.12,39.16,0.04,0.04,0,2,0.02,0.0400000000000062,0.1688445573991054,196.04762388311156,39.14,50.0,False
electoral,39.2,39.52,0.32,0.02,0,9,0.0355555555555555,0.019999999999996,0.3432807477125967,218.91909487207428,39.36,28.125,False
magazine,39.54,39.84,0.3,0.04,0,8,0.0375,0.0399999999999991,0.3597969754736456,241.42128892258808,39.69,26.666666666666668,False
signals,39.88,40.16,0.28,0.04,0,7,0.04,0.0400000000000062,0.2692379015383123,214.63356535515595,40.02,24.999999999999996,False
going,40.2,40.38,0.18,0.02,0,5,0.036,0.019999999999996,0.3422661841765955,214.20330090727413,40.290000000000006,27.77777777777778,False
through,40.4,40.5,0.1,0.02,0,7,0.0142857142857142,0.0200000000000031,0.186833785863643,265.76034087002324,40.45,70.0,False
his,40.52,40.6,0.08,0.04,0,3,0.0266666666666666,0.0399999999999991,0.3179327406300654,272.69373443529696,40.56,37.5,False
rain,40.64,40.8,0.16,0.02,0,4,0.04,0.0200000000000031,0.4469025609896397,251.26011212929208,40.72,25.0,False
at,40.82,40.86,0.04,0.02,0,2,0.02,0.0200000000000031,0.3688356942777286,276.2183903162359,40.84,50.0,False
that,40.88,41.0,0.12,0.04,0,4,0.03,0.0399999999999991,0.7400627932003462,292.6335726913061,40.94,33.333333333333336,False
moment,41.04,41.32,0.28,0.04,0,6,0.0466666666666666,0.0399999999999991,0.2679781603741638,241.02986920557652,41.18,21.428571428571427,False
but,41.36,41.46,0.1,0.06,0,3,0.0333333333333333,0.0600000000000022,0.5215113606944257,285.2168336326356,41.41,30.0,False
i,41.52,41.58,0.06,0.08,0,1,0.06,0.0799999999999983,0.4456485740960133,263.8206068211011,41.55,16.666666666666668,False
can,41.66,41.74,0.08,0.06,0,3,0.0266666666666666,0.0599999999999951,0.2736902718928221,180.9082115737488,41.7,37.5,False
guess,41.8,42.14,0.34,0.52,0,5,0.068,0.519999999999996,0.3906545386840439,202.98325179356203,41.97,14.705882352941176,True
skynet,42.66,43.22,0.56,0.98,0,6,0.0933333333333333,0.980000000000004,0.3701590850025971,198.95216618473737,42.94,10.714285714285714,True
terminator,44.2,44.82,0.62,0.94,0,10,0.062,0.9399999999999976,0.3062603081652372,217.23325441923225,44.510000000000005,16.129032258064516,True
health,45.76,46.22,0.46,0.04,0,6,0.0766666666666666,0.0399999999999991,0.4557161747962754,204.6625699238257,45.99,13.043478260869565,True
care,46.26,46.58,0.32,0.08,0,4,0.08,0.0799999999999983,0.4436327486054316,227.55083757424904,46.42,12.5,True
i,46.66,46.74,0.08,0.14,0,1,0.08,0.1400000000000005,0.4926457069897649,165.22156149735724,46.7,12.5,True
say,46.88,47.14,0.26,1.28,0,3,0.0866666666666666,1.2800000000000011,0.4090804911398174,185.6443784158708,47.010000000000005,11.538461538461538,True
i,48.42,48.52,0.1,0.14,0,1,0.1,0.1399999999999934,0.0678831677876282,201.7349877894366,48.47,10.0,True
work,48.66,49.0,0.34,0.36,0,4,0.085,0.3599999999999994,0.1630847217990186,229.3550214144619,48.83,11.76470588235294,True
in,49.36,49.48,0.12,0.08,0,2,0.06,0.0800000000000054,0.1322358098153616,199.27640644050533,49.42,16.666666666666668,False
health,49.56,49.84,0.28,0.02,0,6,0.0466666666666666,0.019999999999996,0.1957843892004324,211.3931049802244,49.7,21.428571428571427,False
care,49.86,50.16,0.3,1.26,0,4,0.075,1.2600000000000051,0.1377538540869158,154.8019779061442,50.01,13.333333333333334,True
we,51.42,51.52,0.1,0.12,0,2,0.05,0.1199999999999974,0.1879799239467628,230.1991569190245,51.47,20.0,False
match,51.64,51.96,0.32,0.06,0,5,0.064,0.0600000000000022,0.2440159160190306,196.31321469418745,51.8,15.625,True
patience,52.02,52.78,0.76,1.04,0,8,0.095,1.0399999999999991,0.0656028332220824,273.23751867457827,52.400000000000006,10.526315789473683,True
to,53.82,53.94,0.12,0.06,0,2,0.06,0.0600000000000022,0.0799498998613941,176.288560894106,53.88,16.666666666666668,False
treatments,54.0,54.72,0.72,1.44,0,10,0.072,1.4399999999999975,0.0474034330515647,185.85763316163283,54.36,13.88888888888889,True
yeah,56.16,56.16,0.0,3.46,0,4,0.0,3.460000000000001,,,56.16,inf,False
you,59.62,59.86,0.24,0.08,0,3,0.08,0.0799999999999983,0.2450526639838823,248.90612461961152,59.74,12.5,True
decide,59.94,60.66,0.72,0.12,0,6,0.12,0.1200000000000045,0.3808229476112965,234.398770278834,60.3,8.333333333333334,True
who,60.78,60.9,0.12,1.08,0,3,0.04,1.0799999999999983,0.051726911980187,76.81622736217348,60.84,25.0,False
gets,61.98,62.5,0.52,0.56,0,4,0.13,0.5600000000000023,0.2213163727359897,211.57687666615973,62.24,7.692307692307692,True
what,63.06,63.42,0.36,1.88,0,4,0.09,1.8799999999999957,0.2943232649797924,200.60268964154025,63.24,11.11111111111111,True
and,65.3,65.54,0.24,0.06,0,3,0.08,0.059999999999988,0.7042430808436632,292.879347762178,65.42,12.5,True
all,65.6,65.7,0.1,0.04,0,3,0.0333333333333333,0.039999999999992,0.6110333764211925,293.7793673459824,65.65,30.0,False
of,65.74,65.8,0.06,0.04,0,2,0.03,0.0400000000000062,0.4065081253057404,188.3020930269424,65.77,33.333333333333336,False
a,65.84,65.88,0.04,0.04,0,1,0.04,0.0400000000000062,0.3714117449152805,205.3276446226366,65.86,25.0,False
sudden,65.92,66.18,0.26,0.04,0,6,0.0433333333333333,0.039999999999992,0.3888596365992454,262.997578790291,66.05000000000001,23.076923076923077,False
despite,66.22,66.58,0.36,0.04,0,7,0.0514285714285714,0.0400000000000062,0.326005787194481,242.44444918670573,66.4,19.444444444444446,False
being,66.62,66.76,0.14,0.0,0,5,0.028,0.0,0.2622202470185716,257.1872125761983,66.69,35.71428571428571,False
a,66.76,66.8,0.04,0.02,0,1,0.04,0.019999999999996,0.3245218742726191,241.53424715752053,66.78,25.0,False
generally,66.82,67.12,0.3,0.04,0,9,0.0333333333333333,0.039999999999992,0.3431775734459514,250.8483082057842,66.97,30.0,False
small,67.16,67.42,0.26,0.04,0,5,0.052,0.039999999999992,0.3414901175736096,235.98819298433924,67.28999999999999,19.23076923076923,False
and,67.46,67.56,0.1,0.02,0,3,0.0333333333333333,0.019999999999996,0.2219783263329119,209.61627841452568,67.50999999999999,30.0,False
assuming,67.58,67.88,0.3,0.02,0,8,0.0375,0.0200000000000102,0.2304928183711066,278.1699765496219,67.72999999999999,26.666666666666668,False
female,67.9,68.26,0.36,0.06,0,6,0.06,0.059999999999988,0.3231264939894372,204.55576208263815,68.08000000000001,16.666666666666668,False
i,68.32,68.4,0.08,0.04,0,1,0.08,0.039999999999992,0.4285246870841256,169.62503647322214,68.36,12.5,True
have,68.44,68.52,0.08,0.02,0,4,0.02,0.0200000000000102,0.1880204047771361,220.36722955308105,68.47999999999999,50.0,False
become,68.54,68.9,0.36,0.6,0,6,0.06,0.5999999999999943,0.2354988514220669,182.84905262887708,68.72,16.666666666666668,False
the,69.5,69.6,0.1,0.08,0,3,0.0333333333333333,0.0800000000000125,0.5596388686803533,191.67097187093003,69.55,30.0,False
man,69.68,70.0,0.32,2.32,0,3,0.1066666666666666,2.319999999999993,0.2277179459464353,150.18311738013972,69.84,9.375,True
what,72.32,72.48,0.16,0.02,0,4,0.04,0.019999999999996,0.5432025171651725,238.57961028160705,72.4,25.0,False
can,72.5,72.6,0.1,0.02,0,3,0.0333333333333333,0.0200000000000102,0.2745079675564184,302.91593908765464,72.55,30.0,False
we,72.62,72.7,0.08,0.06,0,2,0.04,0.0600000000000022,0.5007742217903866,261.4610542756586,72.66,25.0,False
do,72.76,72.84,0.08,0.92,0,2,0.04,0.9200000000000016,0.4113976841652985,249.15889673683583,72.80000000000001,25.0,False
the,73.76,73.82,0.06,0.1,0,3,0.02,0.1000000000000085,0.8168004030696794,317.60095857836734,73.78999999999999,50.0,False
thing,73.92,74.14,0.22,0.02,0,5,0.044,0.019999999999996,0.410808806382104,221.32003429261096,74.03,22.727272727272727,False
is,74.16,74.32,0.16,0.04,0,2,0.08,0.0400000000000062,0.3280716220586711,164.48346742154493,74.24,12.5,True
the,74.36,74.48,0.12,0.38,0,3,0.04,0.3799999999999954,0.8080961905248921,238.84856924074103,74.42,25.0,False
thing,74.86,75.08,0.22,0.02,0,5,0.044,0.019999999999996,0.406223604554564,244.96316171642096,74.97,22.727272727272727,False
is,75.1,75.3,0.2,0.3,0,2,0.1,0.2999999999999971,0.2748534385404034,227.71851441298887,75.19999999999999,10.0,True
he,75.6,75.72,0.12,0.12,0,2,0.06,0.1200000000000045,0.3643086889191028,313.9331961630048,75.66,16.666666666666668,False
does,75.84,76.14,0.3,0.08,0,4,0.075,0.0799999999999983,0.4815525351419695,270.2900662191293,75.99000000000001,13.333333333333334,True
underscore,76.22,76.94,0.72,0.48,0,10,0.072,0.480000000000004,0.2961787289865863,243.1899697991073,76.58,13.88888888888889,True
a,77.42,77.48,0.06,0.08,0,1,0.06,0.0799999999999983,0.4435275196277058,282.7562884784595,77.45,16.666666666666668,False
very,77.56,77.8,0.24,0.08,0,4,0.06,0.0799999999999983,0.3425821995134067,212.01286229951305,77.68,16.666666666666668,False
legitimate,77.88,78.36,0.48,0.04,0,10,0.048,0.0400000000000062,0.1519830638288644,200.39680304498293,78.12,20.833333333333336,False
concern,78.4,78.88,0.48,1.18,0,7,0.0685714285714285,1.1800000000000068,0.1149053118918239,207.50231547688887,78.64,14.583333333333334,True
a,80.06,80.18,0.12,0.1,0,1,0.12,0.0999999999999943,0.3955545888099359,248.29666969256309,80.12,8.333333333333334,True
eyes,80.28,80.62,0.34,0.02,0,4,0.085,0.019999999999996,0.4293208386856015,231.0945231060876,80.45,11.76470588235294,True
while,80.64,80.92,0.28,0.08,0,5,0.056,0.0799999999999983,0.4530809881498174,227.21167319221345,80.78,17.857142857142854,False
extremely,81.0,81.6,0.6,0.06,0,9,0.0666666666666666,0.0600000000000022,0.2002995598531623,251.29179814243133,81.3,15.0,True
powerful,81.66,82.34,0.68,1.04,0,8,0.085,1.039999999999992,0.2819894368074593,194.61896100535495,82.0,11.76470588235294,True
are,83.38,83.54,0.16,0.08,0,3,0.0533333333333333,0.0799999999999983,0.3254509176506792,179.28977689227693,83.46000000000001,18.75,False
also,83.62,83.94,0.32,0.04,0,4,0.08,0.0400000000000062,0.2718717074208426,202.07240958854155,83.78,12.5,True
extremely,83.98,84.56,0.58,0.06,0,9,0.0644444444444444,0.0600000000000022,0.117722267618689,179.6453726301103,84.27000000000001,15.517241379310343,True
literal,84.62,85.08,0.46,1.22,0,7,0.0657142857142857,1.2199999999999989,0.2154349130529998,116.94292337964038,84.85,15.217391304347826,True
an,86.3,86.4,0.1,0.04,0,2,0.05,0.039999999999992,0.4054372122397378,216.89685286703576,86.35,20.0,False
extremely,86.44,87.1,0.66,0.08,0,9,0.0733333333333333,0.0800000000000125,0.2138686736521766,259.6150096078828,86.77,13.636363636363637,True
literal,87.18,87.52,0.34,0.04,0,7,0.0485714285714285,0.0400000000000062,0.3321662812691864,223.80499520910743,87.35,20.588235294117645,False
problem,87.56,87.96,0.4,0.04,0,7,0.0571428571428571,0.0400000000000062,0.2557782999122789,203.2382992084848,87.75999999999999,17.5,False
solving,88.0,88.48,0.48,0.78,0,7,0.0685714285714285,0.7800000000000011,0.2770241576590935,292.5131174788648,88.24000000000001,14.583333333333334,True
combined,89.26,89.74,0.48,0.02,0,8,0.06,0.0200000000000102,0.3474005159448445,226.41942953070767,89.5,16.666666666666668,False
with,89.76,89.86,0.1,0.04,0,4,0.025,0.0400000000000062,0.1716387079270819,228.92617644812017,89.81,40.0,False
an,89.9,89.96,0.06,0.06,0,2,0.03,0.0600000000000022,0.0973981277704583,140.57111899611706,89.93,33.333333333333336,False
inaccurate,90.02,90.68,0.66,0.04,0,10,0.066,0.039999999999992,0.2639898777232103,205.8625305290306,90.35,15.15151515151515,True
problem,90.72,91.14,0.42,0.02,0,7,0.06,0.019999999999996,0.2265432049896529,185.82718578198237,90.93,16.666666666666668,False
definition,91.16,91.82,0.66,0.96,0,10,0.066,0.960000000000008,0.194548410159261,258.52241095466513,91.49,15.15151515151515,True
that,92.78,92.94,0.16,0.04,0,4,0.04,0.0400000000000062,0.5931576715883742,242.73918828364404,92.86,25.0,False
was,92.98,93.12,0.14,0.02,0,3,0.0466666666666666,0.019999999999996,0.217796303916145,290.38739533788527,93.05,21.428571428571427,False
a,93.14,93.2,0.06,0.04,0,1,0.06,0.039999999999992,0.3233512631089738,282.3553426319109,93.17,16.666666666666668,False
reason,93.24,93.6,0.36,0.06,0,6,0.06,0.0600000000000022,0.1680245571534985,202.78250516991372,93.42,16.666666666666668,False
behind,93.66,94.14,0.48,0.04,0,6,0.08,0.0400000000000062,0.1916255992161169,189.6268141712336,93.9,12.5,True
our,94.18,94.26,0.08,0.04,0,3,0.0266666666666666,0.039999999999992,0.1945020217363525,145.1910424834198,94.22,37.5,False
most,94.3,94.52,0.22,0.06,0,4,0.055,0.0600000000000022,0.092796661947924,159.7692279721525,94.41,18.181818181818183,False
recent,94.58,94.88,0.3,0.04,0,6,0.0499999999999999,0.0400000000000062,0.1042241560490848,196.1529094465106,94.73,20.0,False
mortgage,94.92,95.28,0.36,0.04,0,8,0.045,0.039999999999992,0.1043964889135004,150.1365596158987,95.1,22.22222222222222,False
crisis,95.32,95.92,0.6,2.1,0,6,0.0999999999999999,2.0999999999999943,0.0567532550552876,,95.62,10.0,True
truth,98.02,98.34,0.32,0.04,0,5,0.064,0.039999999999992,0.1515383460688968,273.2025031704407,98.18,15.625,True
be,98.38,98.46,0.08,0.06,0,2,0.04,0.0600000000000022,0.2145618378838088,221.7687029192566,98.42,25.0,False
told,98.52,99.02,0.5,0.78,0,4,0.125,0.7800000000000011,0.2731530221013792,229.7070539937733,98.77,8.0,True
an,99.8,99.92,0.12,0.06,0,2,0.06,0.0600000000000022,0.1066171157408662,163.06439672942267,99.86,16.666666666666668,False
ai,99.98,100.32,0.34,0.08,0,2,0.17,0.0800000000000125,0.4979613175994218,256.53138441552693,100.15,5.88235294117647,True
task,100.4,100.8,0.4,0.04,0,4,0.1,0.0400000000000062,0.2746604020482044,236.37702721477916,100.6,10.0,True
to,100.84,100.92,0.08,0.06,0,2,0.04,0.0600000000000022,0.1253461595267786,234.7513163925032,100.88,25.0,False
find,100.98,101.2,0.22,0.04,0,4,0.055,0.039999999999992,0.4015240806018866,221.24670714722947,101.09,18.181818181818183,False
the,101.24,101.28,0.04,0.04,0,3,0.0133333333333333,0.039999999999992,0.1422789157311999,212.75082704323643,101.26,75.0,False
most,101.32,101.54,0.22,0.08,0,4,0.055,0.0799999999999983,0.1244502865755419,176.72301044821475,101.43,18.181818181818183,False
cost,101.62,102.18,0.56,0.02,0,4,0.14,0.019999999999996,0.1483876382584006,175.84075396766224,101.9,7.142857142857142,True
effective,102.2,102.62,0.42,0.06,0,9,0.0466666666666666,0.0600000000000022,0.207540859259633,291.29936848343146,102.41,21.42857142857143,False
treatments,102.68,103.12,0.44,0.04,0,10,0.044,0.039999999999992,0.14127611496108,295.7843947111219,102.9,22.727272727272727,False
to,103.16,103.24,0.08,0.06,0,2,0.04,0.0600000000000022,0.0852646622022852,239.27612384552123,103.2,25.0,False
cancer,103.3,103.78,0.48,0.88,0,6,0.08,0.8799999999999955,0.1902844369817363,319.7652541073359,103.54,12.5,True
would,104.66,104.8,0.14,0.04,0,5,0.028,0.0400000000000062,0.1171952749004551,190.14000391338905,104.73,35.71428571428571,False
probably,104.84,105.34,0.5,0.08,0,8,0.0625,0.0799999999999983,0.2226212251409991,236.83679461941705,105.09,16.0,True
choose,105.42,105.72,0.3,0.02,0,6,0.0499999999999999,0.019999999999996,0.097385798567711,223.36912469387653,105.57,20.0,False
to,105.74,105.84,0.1,0.18,0,2,0.05,0.1799999999999926,0.1509611573494126,201.51316154919283,105.79,20.0,False
end,106.02,106.3,0.28,0.04,0,3,0.0933333333333333,0.0400000000000062,0.2235740350563377,194.70617960644205,106.16,10.714285714285714,True
lives,106.34,106.88,0.54,0.84,0,5,0.108,0.8400000000000034,0.1741085907376765,115.86989749246206,106.61,9.25925925925926,True
rather,107.72,108.12,0.4,0.02,0,6,0.0666666666666666,0.019999999999996,0.3133646679476804,166.0281266950714,107.92,15.0,True
than,108.14,108.28,0.14,0.06,0,4,0.035,0.0600000000000022,0.0926607191206154,161.67382061883768,108.21,28.57142857142857,False
save,108.34,108.6,0.26,0.04,0,4,0.065,0.0400000000000062,0.1270490292473189,167.07759121235813,108.47,15.384615384615383,True
them,108.64,108.88,0.24,2.96,0,4,0.06,2.960000000000008,0.0824385869180934,,108.76,16.666666666666668,False
that,111.84,112.08,0.24,0.06,0,4,0.06,0.0600000000000022,0.4552136743946607,239.289337332524,111.96,16.666666666666668,False
said,112.14,112.48,0.34,0.72,0,4,0.085,0.7199999999999989,0.2171802725586771,164.39950298979264,112.31,11.76470588235294,True
i,113.2,113.3,0.1,0.1,0,1,0.1,0.1000000000000085,0.1953871788927457,246.1968326060238,113.25,10.0,True
see,113.4,113.52,0.12,0.1,0,3,0.04,0.1000000000000085,0.2043305510804592,267.8275132197208,113.46,25.0,False
great,113.62,113.86,0.24,0.04,0,5,0.048,0.0400000000000062,0.2710002549002938,276.8267162805513,113.74,20.833333333333336,False
potential,113.9,114.5,0.6,0.06,0,9,0.0666666666666666,0.0600000000000022,0.1539796538092107,205.66700626906237,114.2,15.0,True
for,114.56,114.68,0.12,0.08,0,3,0.04,0.0799999999999983,0.1821190874830756,205.3954370121224,114.62,25.0,False
ais,114.76,115.32,0.56,0.14,0,3,0.1866666666666666,0.1400000000000005,0.2919784221636492,179.87773083901246,115.04,5.357142857142857,True
to,115.46,115.58,0.12,0.06,0,2,0.06,0.0600000000000022,0.0552680873545393,,115.52,16.666666666666668,False
improve,115.64,116.08,0.44,0.04,0,7,0.0628571428571428,0.0400000000000062,0.1019657547191488,197.884305013586,115.86,15.909090909090908,True
our,116.12,116.2,0.08,0.08,0,3,0.0266666666666666,0.0799999999999983,0.287710518155132,135.65433662411644,116.16,37.5,False
lives,116.28,116.7,0.42,1.8,0,5,0.0839999999999999,1.7999999999999972,0.137142627599919,80.68907984676088,116.49,11.904761904761903,True
in,118.5,118.64,0.14,0.08,0,2,0.07,0.0799999999999983,0.212663471889817,237.4606223982564,118.57,14.285714285714285,True
health,118.72,119.02,0.3,0.02,0,6,0.0499999999999999,0.0200000000000102,0.268564651992782,195.352440684806,118.87,20.0,False
care,119.04,119.32,0.28,0.44,0,4,0.07,0.4400000000000119,0.2469950695200215,204.0525696041664,119.18,14.285714285714285,True
we,119.76,119.86,0.1,0.08,0,2,0.05,0.0799999999999983,0.1706161654209418,241.97261702908952,119.81,20.0,False
have,119.94,120.08,0.14,0.06,0,4,0.035,0.0600000000000022,0.406947579281146,310.9538996134536,120.01,28.57142857142857,False
too,120.14,120.28,0.14,0.06,0,3,0.0466666666666666,0.0600000000000022,0.0987979919829477,304.38171430099885,120.21,21.428571428571427,False
much,120.34,120.52,0.18,0.06,0,4,0.045,0.0600000000000022,0.2360417983851964,270.6126268788788,120.43,22.22222222222222,False
data,120.58,120.88,0.3,0.68,0,4,0.075,0.6800000000000068,0.2686606246874933,163.0604373311947,120.73,13.333333333333334,True
electronic,121.56,122.06,0.5,0.06,0,10,0.05,0.0600000000000022,0.2066919774808839,190.93797818944057,121.81,20.0,False
